Folder,Action,Status
content/staff-profiles,supersede,done
content/staff-profiles,naomi,todo
content,links,done
content,naomi,todo
content/reference,create,done
content/no-content-or-duplicate,create,ask
content/discussion,create,ask
content/fa14/reference,create,ask
content/fa14/reference,naomi,todo
content/fa15,frontmatter,done
content/fa15,naomi,todo
content/fa15/reference,create,ask
content/fa15/reference,naomi,todo
content/fa15/profiles,frontmatter,done
content/fa15/fld,frontmatter,done
content/fa15/fld/*,frontmatter,done
content/fa15/fld/*,links,done
content/fa15/ann/*,frontmatter,done
content/fa16,frontmatter,done
content/fa16,naomi,todo
content/fa16/profiles,frontmatter,done
content/fa16/fld,frontmatter,done
content/fa16/fld/*,frontmatter,done
content/fa16/fld/*,links,done
content/fa16/ann,frontmatter,done
content/fa16/ann/*,frontmatter,done
content/fa17,naomi,todo
content/fa17/fld/*,create,done
content/fa17/ann/*,frontmatter,done
content/sp15,links (assignment),ask
content/sp15/profiles,links,done
content/sp15/fld/*,frontmatter,done
content/sp15/fld/*,links,done
content/sp15/assignments,create,ask
content/sp16,links,done
content/sp16,frontmatter,done
content/sp16,naomi,todo
content/sp16/profiles,frontmatter,done
content/sp16/fld,frontmatter,done
content/sp16/fld/*,frontmatter,done
content/sp16/fld/*,links,done
content/sp16/ann,frontmatter,done
content/sp16/ann/*,frontmatter,done
content/sp17,links,ask
content/sp17,frontmatter,done
content/sp17,naomi,todo
content/sp17/profiles,frontmatter,done
content/sp17/fld,frontmatter,done
content/sp17/fld/*,frontmatter,done
content/sp17/fld/*,links,done
content/sp17/ann,frontmatter,done
content/sp17/ann/*,frontmatter,done
content/sp17dh,links,done
content/sp17dh,frontmatter,done
content/sp17dh,naomi,todo
content/sp17dh/profiles,links,done
content/sp17dh/profiles,frontmatter,done
content/sp17dh/fld,frontmatter,done
content/sp17dh/fld/*,frontmatter,done
content/sp17dh/fld/*,links,done
